subj,stage,region,n_voxels,pval,rval
32,early_practice,BA18L,724,7.116993981806301e-16,0.45153943758797227
32,early_practice,BA18R,717,3.3640042329870623e-15,0.44193952496156386
32,early_practice,BA19L,761,9.415763342598158e-09,0.33018872729598925
32,early_practice,BA19R,800,5.8067023523853446e-08,0.31294702388795415
32,early_practice,BA20L,360,1.2701051333758112e-06,0.28091074594689075
32,early_practice,BA20R,359,0.8095302626675489,-0.014264262990772764
32,early_practice,BA37L,308,0.04906118758884907,0.11608152672641389
32,early_practice,BA37R,302,0.2503170345604465,0.06795683827350907
32,early_practice,BA38L,304,0.0007854786816318668,0.19678157412562444
32,early_practice,BA38R,302,0.5923746270664285,-0.03167848291576561
32,late_practice,BA17L,157,1.0277407786594024e-09,0.3498335437105327
32,late_practice,BA17R,151,1.8928993203058373e-08,0.3236977910572119
32,late_practice,BA18L,724,2.491813028341609e-23,0.5413660568928917
32,late_practice,BA18R,717,2.8440070999625533e-10,0.3606341908423176
32,late_practice,BA19L,761,0.002667641337979032,0.17636917219592416
32,late_practice,BA19R,800,0.01234221944988216,0.14727948589091974
32,late_practice,BA20L,360,0.3312442690959987,-0.05745527094980682
32,late_practice,BA20R,359,0.282209073050426,-0.06357916222113397
32,late_practice,BA37L,308,0.6361597435442288,-0.02799248074425669
32,late_practice,BA37R,302,0.6508276000308507,0.02678215331431849
32,late_practice,BA38L,304,0.42758907983386374,0.046925383826438356
32,late_practice,BA38R,302,0.014255358006411728,0.14428368713516815
33,early_practice,BA17L,157,1.011755389587708e-14,0.43494562039844215
33,early_practice,BA17R,151,5.975625524957224e-09,0.33433505194310403
33,early_practice,BA18L,724,2.384893914070904e-21,0.5199670529930255
33,early_practice,BA18R,717,1.2451517286750565e-10,0.3673698686093896
33,early_practice,BA19L,761,3.2895441223939995e-07,0.2954199758515495
33,early_practice,BA19R,800,2.188931573782121e-05,0.24730054831778422
33,early_practice,BA20L,360,0.00021762046588216978,0.21624196139428495
33,early_practice,BA20R,359,0.39301650673702754,0.05051940317694548
33,early_practice,BA37L,308,0.409667596455659,0.04876604481212385
33,early_practice,BA37R,302,0.277784820233879,-0.06416557564888806
33,early_practice,BA38L,304,0.14897193643708317,0.08525561632395486
33,early_practice,BA38R,302,5.286402333639814e-05,0.2358681199309237
33,late_practice,BA17L,157,2.38632629115385e-136,0.9407461286762115
33,late_practice,BA17R,151,7.111502539539243e-58,0.7705138084923118
33,late_practice,BA18L,724,1.7600826672850161e-174,0.9683768048775278
33,late_practice,BA18R,717,4.549502101977679e-72,0.8225328181703557
33,late_practice,BA19L,761,5.524964176313624e-65,0.7984688011791061
33,late_practice,BA19R,800,3.93275150095122e-43,0.6965537769740433
33,late_practice,BA20L,360,0.0007562122975444705,0.19738374351821214
33,late_practice,BA20R,359,3.1206561410187333e-07,0.2959700051981261
33,late_practice,BA37L,308,0.4030064418810009,0.04946226483235683
33,late_practice,BA37R,302,0.22202658264709635,0.07217737670507096
33,late_practice,BA38L,304,0.0001783049207624674,0.21911177706702775
33,late_practice,BA38R,302,1.8575835186126809e-06,0.27667586027528396
34,early_practice,BA17L,157,5.636085922742465e-38,0.6639310201310782
34,early_practice,BA17R,151,5.278252497390164e-61,0.7833353865937158
34,early_practice,BA18L,724,5.231564050614965e-92,0.8748050752084375
34,early_practice,BA18R,717,1.224402704272324e-49,0.7322811445699383
34,early_practice,BA19L,761,5.083788416950781e-34,0.6357752693358574
34,early_practice,BA19R,800,9.794478856494908e-33,0.6259563423040347
